45.83.96.129,3128,AE,Zaintech Cloudhub Fz llc.
47.91.56.120,5001,AE,Alibaba Cloud Au
47.91.56.120,8080,AE,Alibaba Cloud Au
47.91.56.120,9999,AE,Alibaba Cloud Au
47.91.56.120,9999,AE,Alibaba Cloud Au
47.91.56.120,9999,AE,Alibaba Cloud Au
47.91.56.120,18081,AE,Alibaba Cloud Au
47.91.56.120,18081,AE,Alibaba Cloud Au
47.91.56.120,18081,AE,Alibaba Cloud Au
103.23.37.138,80,AF,Broadband Dsl Internet Provider  Wireless  Wifi  Vsat
103.23.37.138,80,AF,Broadband Dsl Internet Provider  Wireless  Wifi  Vsat
103.23.37.138,80,AF,Broadband Dsl Internet Provider  Wireless  Wifi  Vsat
116.204.160.111,8080,AF,MAINT UAT AF
149.54.6.51,8080,AF,Government Communications Network
149.54.6.51,8080,AF,Government Communications Network
149.54.6.51,8080,AF,Government Communications Network
203.171.110.218,8080,AF,Etisalat Afghan
203.171.110.218,8080,AF,Etisalat Afghan
203.171.110.218,8080,AF,Etisalat Afghan
37.26.86.206,4145,AL,Atu Network
37.26.86.206,4145,AL,Atu Network
37.26.86.206,4145,AL,Atu Network
37.26.86.206,4145,AL,Atu Network
37.26.86.206,47464,AL,Atu Network
37.26.86.206,47464,AL,Atu Network
37.26.86.206,47464,AL,Atu Network
45.15.170.94,32768,AL,Worktitans B.V.
45.15.170.94,32768,AL,Worktitans B.V.
45.15.170.94,32768,AL,Worktitans B.V.
79.106.34.2,4145,AL,TEST 0
79.106.34.3,4145,AL,TEST 0
79.106.34.6,4145,AL,TEST 0
79.106.108.132,8079,AL,ONE ALBANIA SH.A
79.106.108.132,8079,AL,ONE ALBANIA SH.A.
79.106.108.132,8079,AL,ONE ALBANIA SH.A.
79.106.165.246,8989,AL,TEST
79.106.170.126,4145,AL,TEST
79.106.170.126,4145,AL,TEST
79.106.170.126,4145,AL,TEST
80.78.64.70,8080,AL,Business Clients at The Fiber Abcom Infrastructure
80.78.64.70,8080,AL,Business Clients at The Fiber Abcom Infrastructure
80.78.64.70,8080,AL,Business Clients at The Fiber Abcom Infrastructure
80.78.65.230,8080,AL,Business Clients at The Fiber Abcom Infrastructure
80.91.125.238,8089,AL,Business Customers
80.91.125.238,8089,AL,Business Customers
80.91.125.238,8089,AL,Business Customers
94.154.152.3,8079,AL,LUVAGROUP
94.154.152.84,8079,AL,LUVAGROUP
94.154.152.84,8079,AL,LUVAGROUP
109.69.0.179,5678,AL,Vodafone Albania SH.A.
109.69.0.247,8741,AL,Vodafone Albania SH.A.
109.69.0.247,8741,AL,Vodafone Albania SH.A.
109.69.0.247,8741,AL,Vodafone Albania SH.A.
109.236.47.242,4145,AL,Abissnet Pppoe Pool
109.236.47.242,4145,AL,Abissnet Pppoe Pool
109.236.47.242,4145,AL,Abissnet Pppoe Pool
130.0.25.110,34607,AL,Ibc Business Customers
185.89.156.130,5678,AL,Atu Residential Customers
185.89.156.130,5678,AL,Atu Residential Customers
185.89.156.130,5678,AL,Atu Residential Customers
185.196.182.22,8080,AL,Noc Ip Subrange
185.196.182.22,8080,AL,Noc Ip Subrange
185.196.182.22,8080,AL,Noc Ip Subrange
217.24.245.58,8079,AL,TEST1
217.24.245.58,8079,AL,TEST1
217.24.245.58,8079,AL,TEST1
37.186.125.202,5678,AM,Gnc alfa Cjsc
37.186.125.202,5678,AM,Gnc alfa Cjsc
37.186.125.202,5678,AM,Gnc alfa Cjsc
37.252.66.125,46324,AM,Ucom Cjsc
45.133.107.238,81,AM,ART NET LLC
45.133.107.246,81,AM,ART NET LLC
62.89.31.216,3629,AM,Gnc alfa Cjsc
81.16.1.71,5678,AM,Ucom Cjsc
81.16.1.71,5678,AM,Ucom Cjsc
81.16.1.71,5678,AM,Ucom Cjsc
81.16.1.187,32650,AM,Ucom Cjsc
91.103.29.150,3629,AM,Adc Network Infrastructure
109.75.34.152,59341,AM,Ucom Cjsc
109.75.42.82,3629,AM,Ucom Cjsc
109.75.42.82,3629,AM,Ucom Cjsc
130.193.123.34,5678,AM,Callmaster ISP
185.215.53.129,3629,AM,Fnet
185.215.53.217,3629,AM,Fnet
185.215.53.217,3629,AM,Fnet
185.215.53.217,3629,AM,Fnet
185.215.53.241,3629,AM,Fnet
185.215.53.253,3629,AM,Fnet
154.127.240.113,64002,AO,Tvcabo Angola  Lda
154.127.240.113,64002,AO,Tvcabo Angola  Lda
154.127.240.113,64002,AO,Tvcabo Angola  Lda
154.127.240.113,64003,AO,Tvcabo Angola  Lda
154.127.240.113,64003,AO,Tvcabo Angola  Lda
154.127.240.113,64003,AO,Tvcabo Angola  Lda
154.127.240.113,64006,AO,Tvcabo Angola  Lda
154.127.240.113,64006,AO,Tvcabo Angola  Lda
154.127.240.113,64006,AO,Tvcabo Angola  Lda
154.127.240.113,64006,AO,Tvcabo Angola  Lda
154.127.240.114,64002,AO,Tvcabo Angola  Lda
154.127.240.114,64003,AO,Tvcabo Angola  Lda
154.127.240.114,64003,AO,Tvcabo Angola  Lda
154.127.240.114,64003,AO,Tvcabo Angola  Lda
154.127.240.114,64003,AO,Tvcabo Angola  Lda
154.127.240.114,64006,AO,Tvcabo Angola  Lda
154.127.240.114,64006,AO,Tvcabo Angola  Lda
154.127.240.114,64006,AO,Tvcabo Angola  Lda
154.127.240.114,64006,AO,Tvcabo Angola  Lda
154.127.240.115,64001,AO,Tvcabo Angola  Lda
154.127.240.115,64006,AO,Tvcabo Angola  Lda
154.127.240.115,64006,AO,Tvcabo Angola  Lda
154.127.240.115,64006,AO,Tvcabo Angola  Lda
154.127.240.115,64006,AO,Tvcabo Angola  Lda
154.127.240.116,64002,AO,Tvcabo Angola  Lda
154.127.240.116,64002,AO,Tvcabo Angola  Lda
154.127.240.116,64002,AO,Tvcabo Angola  Lda
154.127.240.116,64002,AO,Tvcabo Angola  Lda
154.127.240.116,64006,AO,Tvcabo Angola  Lda
154.127.240.116,64006,AO,Tvcabo Angola  Lda
154.127.240.116,64006,AO,Tvcabo Angola  Lda
154.127.240.116,64006,AO,Tvcabo Angola  Lda
154.127.240.117,64001,AO,Tvcabo Angola  Lda
154.127.240.117,64002,AO,Tvcabo Angola  Lda
154.127.240.117,64002,AO,Tvcabo Angola  Lda
154.127.240.117,64002,AO,Tvcabo Angola  Lda
154.127.240.117,64002,AO,Tvcabo Angola  Lda
154.127.240.117,64003,AO,Tvcabo Angola  Lda
154.127.240.117,64003,AO,Tvcabo Angola  Lda
154.127.240.117,64003,AO,Tvcabo Angola  Lda
154.127.240.117,64003,AO,Tvcabo Angola  Lda
154.127.240.117,64006,AO,Tvcabo Angola  Lda
154.127.240.117,64006,AO,Tvcabo Angola  Lda
154.127.240.117,64006,AO,Tvcabo Angola  Lda
154.127.240.119,64002,AO,Tvcabo Angola  Lda
154.127.240.119,64006,AO,Tvcabo Angola  Lda
154.127.240.119,64006,AO,Tvcabo Angola  Lda
154.127.240.119,64006,AO,Tvcabo Angola  Lda
154.127.240.119,64006,AO,Tvcabo Angola  Lda
154.127.240.120,64002,AO,Tvcabo Angola  Lda
154.127.240.120,64002,AO,Tvcabo Angola  Lda
154.127.240.120,64002,AO,Tvcabo Angola  Lda
154.127.240.120,64006,AO,Tvcabo Angola  Lda
154.127.240.120,64006,AO,Tvcabo Angola  Lda
154.127.240.120,64006,AO,Tvcabo Angola  Lda
154.127.240.120,64006,AO,Tvcabo Angola  Lda
154.127.240.122,64003,AO,Tvcabo Angola  Lda
154.127.240.123,64002,AO,Tvcabo Angola  Lda
154.127.240.123,64003,AO,Tvcabo Angola  Lda
154.127.240.123,64003,AO,Tvcabo Angola  Lda
154.127.240.123,64003,AO,Tvcabo Angola  Lda
154.127.240.123,64003,AO,Tvcabo Angola  Lda
154.127.240.124,64001,AO,Tvcabo Angola  Lda
154.127.240.124,64001,AO,Tvcabo Angola  Lda
154.127.240.124,64001,AO,Tvcabo Angola  Lda
154.127.240.124,64001,AO,Tvcabo Angola  Lda
154.127.240.125,64002,AO,Tvcabo Angola  Lda
154.127.240.125,64002,AO,Tvcabo Angola  Lda
154.127.240.125,64002,AO,Tvcabo Angola  Lda
154.127.240.125,64002,AO,Tvcabo Angola  Lda
154.127.240.125,64003,AO,Tvcabo Angola  Lda
154.127.240.125,64003,AO,Tvcabo Angola  Lda
154.127.240.125,64003,AO,Tvcabo Angola  Lda
43.229.9.143,6412,AR,Aires broadband
45.4.252.217,999,AR,Fernando German Fischer fibernet Telecom
45.4.252.217,999,AR,Fernando German Fischer fibernet Telecom
45.4.252.217,999,AR,Fernando German Fischer fibernet Telecom
45.7.210.200,4153,AR,Cooperativa De Servicios P blicos De Porte a LTDA
45.7.210.200,4153,AR,Cooperativa De Servicios P blicos De Porte a LTDA
45.7.210.200,4153,AR,Cooperativa De Servicios P blicos De Porte a LTDA
45.184.152.97,999,AR,RUIZ SEBASTIAN ALEJANDRO MIWIFI
45.184.152.97,999,AR,RUIZ SEBASTIAN ALEJANDRO MIWIFI
45.184.152.97,999,AR,RUIZ SEBASTIAN ALEJANDRO MIWIFI
45.184.155.3,999,AR,RUIZ SEBASTIAN ALEJANDRO MIWIFI
45.184.155.3,999,AR,RUIZ SEBASTIAN ALEJANDRO MIWIFI
45.184.155.3,999,AR,RUIZ SEBASTIAN ALEJANDRO MIWIFI
45.184.155.6,999,AR,RUIZ SEBASTIAN ALEJANDRO MIWIFI
45.184.155.6,999,AR,RUIZ SEBASTIAN ALEJANDRO MIWIFI
45.184.155.6,999,AR,RUIZ SEBASTIAN ALEJANDRO MIWIFI
45.187.76.2,3629,AR,LOSAC SA
45.187.76.2,3629,AR,LOSAC SA
45.228.77.131,5678,AR,DANIEL MARECHAL
45.228.77.131,5678,AR,DANIEL MARECHAL
45.228.77.131,5678,AR,DANIEL MARECHAL
45.229.31.34,11211,AR,TAPIA MARCELO DANIEL SECTOR NET
45.230.8.28,999,AR,Gimenez Pedro Santiago clorindaconectada
45.230.8.28,999,AR,Gimenez Pedro Santiago clorindaconectada
45.230.8.28,999,AR,Gimenez Pedro Santiago clorindaconectada
45.238.12.4,3128,AR,COOPERATIVA LTDA. DE ELECTRICIDAD Y SERVICIOS ANEXOS DE JEPPENNER
45.238.12.4,3128,AR,COOPERATIVA LTDA. DE ELECTRICIDAD Y SERVICIOS ANEXOS DE JEPPENNER
45.238.12.4,3128,AR,COOPERATIVA LTDA. DE ELECTRICIDAD Y SERVICIOS ANEXOS DE JEPPENNER
67.73.141.150,3549,AR,Cirion Technologies
67.73.141.150,3549,AR,Cirion Technologies
67.73.141.150,3549,AR,Cirion Technologies
131.196.180.1,4153,AR,COOPERATIVA DE OBRAS Y SERVICIOS PUBLICOS DE DESPENADEROS LIMITADA
138.36.150.13,1080,AR,Pedraza Luis Eduardo danez
138.36.150.13,1080,AR,Pedraza Luis Eduardo danez
138.36.150.13,1080,AR,Pedraza Luis Eduardo danez
138.117.77.214,999,AR,MARANDU COMUNICACIONES SOCIEDAD DEL ESTADO
138.117.77.214,999,AR,MARANDU COMUNICACIONES SOCIEDAD DEL ESTADO
138.117.77.214,999,AR,MARANDU COMUNICACIONES SOCIEDAD DEL ESTADO
138.121.160.152,1978,AR,WICORP SA
138.121.161.85,8097,AR,WICORP SA
138.121.161.86,8290,AR,WICORP SA
138.121.161.86,8290,AR,WICORP SA
138.121.161.86,8290,AR,WICORP SA
143.202.97.171,999,AR,Wireless Provider
143.202.97.171,999,AR,Wireless Provider
143.202.97.171,999,AR,Wireless Provider
152.169.106.145,8080,AR,Telecom Argentina S.A.
152.169.106.145,8080,AR,Telecom Argentina S.A.
152.169.106.145,8080,AR,Telecom Argentina S.A.
164.163.40.15,10000,AR,Interret Villa Angela SRL
164.163.42.5,10000,AR,Interret Villa Angela SRL
164.163.42.9,10000,AR,Interret Villa Angela SRL
164.163.42.19,10000,AR,Interret Villa Angela SRL
164.163.42.25,10000,AR,Interret Villa Angela SRL
164.163.42.27,10000,AR,Interret Villa Angela SRL
164.163.42.33,10000,AR,Interret Villa Angela SRL
164.163.43.102,10000,AR,Interret Villa Angela SRL
168.90.255.60,999,AR,TECNOCOMP S.R.L.
168.90.255.60,999,AR,TECNOCOMP S.R.L.
168.90.255.60,999,AR,TECNOCOMP S.R.L.
168.196.246.114,8080,AR,LINKEAR SRL
168.196.246.114,8080,AR,LINKEAR SRL
168.196.246.114,8080,AR,LINKEAR SRL
170.79.182.82,11337,AR,TECHTRON ARGENTINA S.A.
170.150.154.98,5678,AR,CPS
170.210.80.161,4153,AR,Red De Interconexion Universitaria
170.210.80.161,4153,AR,Red De Interconexion Universitaria
170.210.80.161,4153,AR,Red De Interconexion Universitaria
170.210.121.190,8080,AR,Red De Interconexion Universitaria
170.210.121.190,8080,AR,Red De Interconexion Universitaria
170.210.121.190,8080,AR,Red De Interconexion Universitaria
170.254.92.198,4153,AR,Cooperativa Telef nica Santa Maria Limitada
177.87.250.60,999,AR,TWAINSAT SRL
177.87.250.60,999,AR,TWAINSAT SRL
177.87.250.60,999,AR,TWAINSAT SRL
177.136.84.232,999,AR,ACCESS AIR SOCIEDAD SIMPLE
177.136.84.232,999,AR,ACCESS AIR SOCIEDAD SIMPLE
177.136.84.232,999,AR,ACCESS AIR SOCIEDAD SIMPLE
177.136.85.193,999,AR,ACCESS AIR SOCIEDAD SIMPLE
177.136.85.193,999,AR,ACCESS AIR SOCIEDAD SIMPLE
177.136.85.193,999,AR,ACCESS AIR SOCIEDAD SIMPLE
179.40.75.1,61362,AR,Telefonica de Argentina
181.10.117.254,999,AR,Telecom Argentina S.A.
181.10.117.254,999,AR,Telecom Argentina S.A.
181.10.117.254,999,AR,Telecom Argentina S.A.
181.10.123.154,999,AR,Telecom Argentina S.A.
181.10.123.154,999,AR,Telecom Argentina S.A.
181.10.123.154,999,AR,Telecom Argentina S.A.
181.10.123.157,999,AR,Telecom Argentina S.A.
181.10.160.155,8080,AR,Fuerza Aerea Argentina
181.10.181.104,999,AR,Telecom Argentina S.A
181.10.181.104,999,AR,Telecom Argentina S.A
181.10.181.104,999,AR,Telecom Argentina S.A
181.10.200.154,3128,AR,Aeropuertos Argentina 000
181.10.200.154,3128,AR,Aeropuertos Argentina 000
181.13.141.234,80,AR,Juan Villar Y Federico Mastrangelo
181.13.141.234,80,AR,Juan Villar Y Federico Mastrangelo
181.13.141.234,80,AR,Juan Villar Y Federico Mastrangelo
181.13.142.45,5678,AR,Frigorifico Industrial Del Norte SA
181.13.198.90,4153,AR,Video Drome Sociedad Anonima
181.13.198.90,4153,AR,Video Drome Sociedad Anonima
181.13.198.90,4153,AR,Video Drome Sociedad Anonima
181.15.154.154,52033,AR,Municipalidad De Posadas
181.15.154.156,52033,AR,Municipalidad De Posadas
181.29.205.47,8085,AR,Telecom Argentina S.A.
181.88.73.150,5678,AR,Telecom Acceso
181.88.73.150,5678,AR,Telecom Acceso
181.88.73.150,5678,AR,Telecom Acceso
181.114.226.212,8080,AR,Cyberwave S.A.
181.114.226.212,8080,AR,Cyberwave S.A.
181.114.226.212,8080,AR,Cyberwave S.A.
181.117.128.38,5678,AR,Claro
181.117.128.38,5678,AR,Claro
181.117.128.38,5678,AR,Claro
181.171.181.152,3128,AR,Telecom Argentina S.A.
181.191.39.29,5678,AR,AXESSO SRL
181.192.2.23,8080,AR,Coop Telefonica Villa Gesell LTDA
181.192.29.127,8080,AR,Coop Telefonica Villa Gesell LTDA
181.192.29.127,8080,AR,Coop Telefonica Villa Gesell LTDA
181.192.29.127,8080,AR,Coop Telefonica Villa Gesell LTDA
181.192.29.127,8080,AR,Coop Telefonica Villa Gesell LTDA
181.209.78.75,999,AR,Universidad Nacional De Cordoba
181.209.78.75,999,AR,Universidad Nacional De Cordoba
181.209.78.75,999,AR,Universidad Nacional De Cordoba
181.209.78.76,999,AR,Universidad Nacional De Cordoba
181.209.78.76,999,AR,Universidad Nacional De Cordoba
181.209.78.76,999,AR,Universidad Nacional De Cordoba
181.209.78.78,999,AR,Universidad Nacional De Cordoba
181.209.78.78,999,AR,Universidad Nacional De Cordoba
181.209.78.78,999,AR,Universidad Nacional De Cordoba
181.209.82.202,999,AR,Net g S.R.L
181.209.82.202,999,AR,Net g S.R.L
181.209.82.202,999,AR,Net g S.R.L
181.209.96.157,999,AR,Jujuy Sapem
181.209.96.157,999,AR,Jujuy Sapem
181.209.96.157,999,AR,Jujuy Sapem
181.209.96.226,4153,AR,Jujuy Sapem
181.209.96.226,4153,AR,Jujuy Sapem
181.209.106.186,1080,AR,Jujuy Sapem
181.209.106.187,1080,AR,Jujuy Sapem
181.209.106.188,1080,AR,Jujuy Sapem
181.209.106.189,1080,AR,Jujuy Sapem
181.209.106.190,1080,AR,Jujuy Sapem
181.209.107.138,4153,AR,Jujuy Sapem
181.209.107.139,4153,AR,Jujuy Sapem
181.209.110.190,999,AR,Jujuy Sapem
181.209.110.190,999,AR,Jujuy Sapem
181.209.110.190,999,AR,Jujuy Sapem
181.209.111.147,999,AR,Jujuy Sapem
181.209.111.147,999,AR,Jujuy Sapem
181.209.111.147,999,AR,Jujuy Sapem
181.209.111.148,999,AR,Jujuy Sapem
181.209.117.50,8080,AR,Arsat Empresa Argentina De Soluciones Satelitales S.A.
181.229.38.117,5678,AR,Telecom Argentina S.A.
186.13.11.121,8080,AR,Claro
186.13.11.121,8080,AR,Claro
186.13.11.121,8080,AR,Claro
186.125.218.162,999,AR,Telecom Argentina S.A
186.125.218.162,999,AR,Telecom Argentina S.A
186.125.218.162,999,AR,Telecom Argentina S.A
186.125.218.188,999,AR,Telecom Argentina S.A
186.125.218.188,999,AR,Telecom Argentina S.A
186.125.218.188,999,AR,Telecom Argentina S.A
187.102.216.196,999,AR,CRETTON LISANDRO MAXIMILIANO MISIOTECH
187.102.216.201,999,AR,CRETTON LISANDRO MAXIMILIANO MISIOTECH
187.102.216.201,999,AR,CRETTON LISANDRO MAXIMILIANO MISIOTECH
187.102.216.201,999,AR,CRETTON LISANDRO MAXIMILIANO MISIOTECH
187.102.219.149,999,AR,CRETTON LISANDRO MAXIMILIANO MISIOTECH
187.102.219.149,999,AR,CRETTON LISANDRO MAXIMILIANO MISIOTECH
187.102.219.149,999,AR,CRETTON LISANDRO MAXIMILIANO MISIOTECH
190.2.104.201,4153,AR,Teledifusora S.A.
190.2.104.201,4153,AR,Teledifusora S.A.
190.2.115.18,4153,AR,Teledifusora S.A.
190.2.115.33,4153,AR,Teledifusora S.A.
190.2.115.33,4153,AR,Teledifusora S.A.
190.2.115.33,4153,AR,Teledifusora S.A.
190.11.198.89,4153,AR,NODOSUD S.A
190.14.32.209,5678,AR,Atlantica Video Cable S.A.
190.15.210.143,33333,AR,Inform tica Y Telecomunicaciones S.A.
190.15.252.205,3629,AR,IPNEXT S.A.
190.15.252.205,3629,AR,IPNEXT S.A.
190.15.252.205,3629,AR,IPNEXT S.A.
190.57.245.250,8080,AR,Gigared S.A.
190.57.245.250,8080,AR,Gigared S.A.
190.57.245.250,8080,AR,Gigared S.A.
190.103.84.11,32767,AR,Datalink SRL
190.103.177.131,80,AR,Ipxon Networks Argentina Cordoba ar cor
190.103.177.131,80,AR,Ipxon Networks Argentina Cordoba ar cor
190.103.177.131,80,AR,Ipxon Networks Argentina Cordoba ar cor
190.104.213.175,1080,AR,ZINK CRISTIAN FERNANDO
190.104.219.147,4153,AR,SUTEBA SINDICATO UNIFICADO DE TRABAJADORES DE LA EDUCACION DE BUENOS AIRES
190.104.219.147,4153,AR,SUTEBA SINDICATO UNIFICADO DE TRABAJADORES DE LA EDUCACION DE BUENOS AIRES
190.104.219.147,4153,AR,SUTEBA SINDICATO UNIFICADO DE TRABAJADORES DE LA EDUCACION DE BUENOS AIRES
190.111.209.207,3128,AR,CPS
190.111.209.207,3128,AR,CPS
190.111.209.207,3128,AR,CPS
190.111.209.207,3128,AR,CPS
190.114.143.226,8080,AR,Telefon a P blica Y Privada S.A.
190.136.50.67,3128,AR,Cooperativa Electrica Limitada Obera
190.136.50.67,3128,AR,Cooperativa Electrica Limitada Obera
190.136.50.67,3128,AR,Cooperativa Electrica Limitada Obera
190.151.166.99,4153,AR,Teledifusora S.A.
190.151.166.99,4153,AR,Teledifusora S.A.
190.151.166.99,4153,AR,Teledifusora S.A.
190.151.166.99,4153,AR,Teledifusora S.A.
190.151.166.122,4153,AR,Teledifusora S.A.
190.188.244.84,5678,AR,Telecom Argentina S.A.
190.195.225.34,80,AR,Telecom Argentina S.A.
190.211.87.23,999,AR,Patagonia Green S.A.
190.211.87.23,999,AR,Patagonia Green S.A.
190.211.87.23,999,AR,Patagonia Green S.A.
190.216.56.1,4153,AR,Cirion Technologies
190.220.1.173,35376,AR,Claro
190.220.1.173,35376,AR,Claro
190.220.1.173,35376,AR,Claro
190.225.164.15,33333,AR,Telecom Argentina S.A.
191.97.96.86,8080,AR,VISION NET
191.97.96.208,8080,AR,VISION NET
191.102.248.42,4153,AR,IP RED
191.102.248.42,4153,AR,IP RED
191.102.248.42,4153,AR,IP RED
191.102.254.10,8085,AR,IP RED
191.102.254.11,8085,AR,IP RED
191.102.254.28,8085,AR,IP RED
191.102.254.53,8083,AR,IP RED
191.102.254.53,8083,AR,IP RED
191.102.254.53,8083,AR,IP RED
200.0.227.220,4153,AR,Satlink S.A.
200.0.247.85,4153,AR,Telefonica De Argentina
200.0.247.85,4153,AR,Telefonica De Argentina
200.0.247.85,4153,AR,Telefonica De Argentina
200.5.196.218,3128,AR,Telefonica De Argentina
200.5.196.218,3128,AR,Telefonica De Argentina
200.5.196.218,3128,AR,Telefonica De Argentina
200.5.196.218,3128,AR,Telefonica De Argentina
200.32.51.179,8080,AR,Satlink S.A.  Shows Division
200.32.51.179,8080,AR,Satlink S.A.  Shows Division
200.32.105.86,4153,AR,Cirion Technologies
200.34.215.1,4153,AR,JOSE CARTELLONE CONSTRUCCIONES CIVILES S.A.
200.34.215.1,4153,AR,JOSE CARTELLONE CONSTRUCCIONES CIVILES S.A.
200.34.215.1,4153,AR,JOSE CARTELLONE CONSTRUCCIONES CIVILES S.A.
200.34.215.193,4153,AR,JOSE CARTELLONE CONSTRUCCIONES CIVILES S.A.
200.34.215.193,4153,AR,JOSE CARTELLONE CONSTRUCCIONES CIVILES S.A.
200.34.215.193,4153,AR,JOSE CARTELLONE CONSTRUCCIONES CIVILES S.A.
200.34.215.194,4153,AR,JOSE CARTELLONE CONSTRUCCIONES CIVILES S.A.
200.34.215.194,4153,AR,JOSE CARTELLONE CONSTRUCCIONES CIVILES S.A.
200.41.60.33,4153,AR,Cirion Technologies
200.41.60.33,4153,AR,Cirion Technologies
200.41.60.33,4153,AR,Cirion Technologies
200.41.182.243,4145,AR,Telefonica De Argentina
200.43.231.4,4153,AR,Telecom Argentina S.A.
200.43.231.4,4153,AR,Telecom Argentina S.A.
200.43.231.4,4153,AR,Telecom Argentina S.A.
200.59.10.42,999,AR,POLYMONT ARGENTINA S.A
200.59.10.42,999,AR,POLYMONT ARGENTINA S.A
200.59.10.42,999,AR,POLYMONT ARGENTINA S.A
200.59.10.50,999,AR,Clientes Ctlc
200.63.65.64,8080,AR,Cyberwave S.A.
200.69.159.177,8080,AR,Claro
200.70.19.94,4153,AR,Telefonica De Argentina
200.70.19.94,4153,AR,Telefonica De Argentina
200.70.19.94,4153,AR,Telefonica De Argentina
200.70.34.22,4153,AR,Telefonica De Argentina
200.71.237.238,23500,AR,Caja De Seguros S.A.
200.71.237.238,23500,AR,Caja De Seguros S.A.
200.71.237.238,23500,AR,Caja De Seguros S.A.
200.81.127.113,4153,AR,Teledifusora S.A.
200.81.127.113,4153,AR,Teledifusora S.A.
200.81.127.113,4153,AR,Teledifusora S.A.
200.106.184.11,999,AR,FULLNET SOLUTIONS S.A.S.
200.106.184.11,999,AR,FULLNET SOLUTIONS S.A.S.
200.106.184.11,999,AR,FULLNET SOLUTIONS S.A.S.
200.106.184.12,999,AR,FULLNET SOLUTIONS S.A.S.
200.106.184.12,999,AR,FULLNET SOLUTIONS S.A.S.
200.106.184.12,999,AR,FULLNET SOLUTIONS S.A.S.
200.106.184.13,999,AR,FULLNET SOLUTIONS S.A.S.
200.106.184.13,999,AR,FULLNET SOLUTIONS S.A.S.
200.106.184.13,999,AR,FULLNET SOLUTIONS S.A.S.
200.106.184.14,999,AR,FULLNET SOLUTIONS S.A.S.
200.106.184.14,999,AR,FULLNET SOLUTIONS S.A.S.
200.106.184.14,999,AR,FULLNET SOLUTIONS S.A.S.
200.106.184.15,999,AR,FULLNET SOLUTIONS S.A.S.
200.106.184.21,999,AR,FULLNET SOLUTIONS S.A.S.
