91.187.93.166,443,AD,Andorra Telecom
47.91.45.235,8080,AE,Alibaba Cloud Au
47.91.45.235,9000,AE,Alibaba Cloud Au
47.91.45.235,20002,AE,Alibaba Cloud Au
47.91.56.120,11,AE,Alibaba Cloud Au
47.91.56.120,82,AE,Alibaba Cloud Au
47.91.56.120,999,AE,Alibaba Cloud Au
47.91.56.120,2080,AE,Alibaba Cloud Au
47.91.56.120,5001,AE,Alibaba Cloud Au
47.91.56.120,8080,AE,Alibaba Cloud Au
47.91.56.120,9999,AE,Alibaba Cloud Au
47.91.56.120,18081,AE,Alibaba Cloud Au
84.235.241.165,443,AE,Oracle Cloud
84.235.245.18,34501,AE,Oracle Cloud
85.9.112.219,443,AE,G-Core Labs SA
85.237.211.59,2053,AE,Private Customer
85.237.211.59,8443,AE,Private Customer
85.237.211.73,443,AE,Zenlayer
85.237.211.113,2096,AE,Private Customer
85.237.211.244,2053,AE,Zenlayer
87.248.129.26,443,AE,Online Server Telekomunikasyon Sirketi
89.19.215.35,443,AE,TimeWeb
89.31.120.36,41358,AE,M247 Europe
89.31.120.79,56531,AE,M247 Europe
93.127.181.233,2053,AE,Innovative Telecom Systems FZE
93.127.181.233,2443,AE,Online Server Telekomunikasyon Sirketi
93.127.181.253,2053,AE,Innovative Telecom Systems FZE
93.127.181.253,8443,AE,Innovative Telecom Systems FZE
94.200.145.146,10012,AE,Emirates Integrated Telecommunications Company PJSC (EITC-DU)
98.98.236.58,15608,AE,Zenlayer
109.61.42.25,888,AE,G-Core Labs SA
109.61.42.25,2049,AE,G-Core Labs SA
109.61.42.25,2059,AE,G-Core Labs SA
109.61.42.25,6533,AE,G-Core Labs SA
109.61.42.53,8081,AE,G-Core Labs SA
109.61.42.167,6633,AE,G-Core Labs Customer assignment
129.151.128.105,16731,AE,Oracle Corporation
129.151.128.114,34834,AE,Oracle Corporation
129.151.148.35,443,AE,Oracle Cloud
129.151.149.168,25061,AE,Oracle Cloud
139.185.34.131,443,AE,Oracle Cloud
139.185.39.214,11759,AE,Oracle Cloud
139.185.39.237,48008,AE,Oracle Corporation
139.185.46.148,31135,AE,Oracle Cloud
139.185.50.5,14594,AE,Oracle Corporation
147.78.0.247,443,AE,BrainStorm Network Inc
152.32.181.246,44070,AE,UCLOUD INFORMATION TECHNOLOGY (HK) LIMITED
158.255.77.166,443,AE,Innovative Telecom Systems FZE
158.255.77.168,443,AE,Innovative Telecom Systems FZE
176.97.66.19,2053,AE,CLOUD-NETWORK
176.97.66.19,8443,AE,CLOUD-NETWORK
176.97.66.175,443,AE,3nt solutions LLP
176.97.67.38,443,AE,3nt solutions LLP
176.97.67.209,443,AE,M247 Europe
176.97.78.80,2053,AE,IROKO Networks Corporation
176.125.231.110,443,AE,M247 Europe
181.215.205.141,8081,AE,Zenlayer Inc
185.141.27.70,8443,AE,Host Sailor Ltd
185.169.107.233,443,AE,Digital City FZE
185.209.49.17,2053,AE,ITGLOBAL COM DMCC
185.209.49.17,8443,AE,ITGLOBAL COM DMCC
193.123.66.187,34501,AE,Cloudflare Warp
193.123.69.77,443,AE,Oracle Cloud
193.123.80.245,443,AE,Oracle Cloud
193.123.81.105,443,AE,Oracle Corporation
193.123.84.1,51132,AE,Oracle Cloud
193.123.90.82,12648,AE,Oracle Cloud
194.58.33.42,443,AE,International Hosting Company
195.158.230.134,2053,AE,G-Core Labs SA
195.158.230.134,8443,AE,G-Core Labs SA
212.192.215.163,443,AE,Baxet Group Inc
217.195.200.52,80,AE,G-Core Labs SA
217.195.200.52,443,AE,G-Core Labs Customer assignment
217.195.200.138,443,AE,G-Core Labs Customer assignment
217.195.200.153,1,AE,G-Core Labs Customer assignment
217.195.200.179,1,AE,G-Core Labs S.A
217.195.200.194,1,AE,G-Core Labs S.A
103.23.37.138,80,AF,Broadband Dsl Internet Provider  Wireless  Wifi  Vsat
116.204.160.111,8080,AF,MAINT UAT AF
149.54.6.51,8080,AF,Government Communications Network
203.171.110.218,8080,AF,Etisalat Afghan
31.41.33.214,4333,AL,Albanian Hosting SHPK
31.41.33.215,4333,AL,Albanian Hosting SHPK
31.171.152.210,8443,AL,Keminet Ltd
31.171.152.215,8443,AL,Keminet Ltd
31.171.152.216,8443,AL,Keminet Ltd
31.171.152.217,8443,AL,Keminet Ltd
31.171.152.218,8443,AL,Keminet Ltd
31.171.152.219,8443,AL,Keminet Ltd
31.171.152.220,8443,AL,Keminet Ltd
31.171.152.221,8443,AL,Keminet Ltd
31.171.152.222,8443,AL,Keminet Ltd
37.26.86.206,4145,AL,Atu Network
37.26.86.206,47464,AL,Atu Network
45.15.170.82,2053,AL,WorkTitans B.V.
45.15.170.94,32768,AL,Worktitans B.V.
45.15.170.244,443,AL,WorkTitans B.V.
79.106.34.2,4145,AL,TEST 0
79.106.34.3,4145,AL,TEST 0
79.106.34.6,4145,AL,TEST 0
79.106.108.132,8079,AL,ONE ALBANIA SH.A
79.106.165.246,8989,AL,TEST
79.106.170.126,4145,AL,TEST
80.78.64.70,8080,AL,Business Clients at The Fiber Abcom Infrastructure
80.78.65.230,8080,AL,Business Clients at The Fiber Abcom Infrastructure
80.91.125.238,8089,AL,Business Customers
94.154.152.3,8079,AL,LUVAGROUP
94.154.152.84,8079,AL,LUVAGROUP
103.167.234.26,443,AL,Albanian Hosting SH.P.K. t/a AlbHost SH.P.K.
103.167.234.120,443,AL,Albanian Hosting SH.P.K.
109.69.0.179,5678,AL,Vodafone Albania SH.A.
109.69.0.247,8741,AL,Vodafone Albania SH.A.
109.236.47.242,4145,AL,Abissnet Pppoe Pool
130.0.25.110,34607,AL,Ibc Business Customers
185.89.156.130,5678,AL,Atu Residential Customers
185.196.182.22,8080,AL,Noc Ip Subrange
217.24.245.58,8079,AL,TEST1
2.56.204.156,8080,AM,Proitlab LLC
2.56.204.183,443,AM,Proitlab LLC
2.56.204.246,443,AM,Proitlab LLC
2.56.205.182,2053,AM,Proitlab LLC
2.56.205.182,8443,AM,Proitlab LLC
2.56.206.64,443,AM,Proitlab LLC
2.56.206.114,2053,AM,Proitlab LLC
2.56.206.114,8443,AM,Proitlab LLC
2.56.206.125,443,AM,WEB
2.56.206.160,443,AM,Proitlab LLC
2.56.206.234,443,AM,WEB
37.186.125.202,5678,AM,Gnc alfa Cjsc
37.252.66.125,46324,AM,Ucom Cjsc
45.83.143.35,2053,AM,Stark Industries Solutions
45.83.143.35,8443,AM,Stark Industries Solutions
45.83.143.118,2053,AM,Stark Industries Solutions
45.83.143.118,8443,AM,Stark Industries Solutions
45.83.143.225,2053,AM,WorkTitans B.V.
45.129.185.8,2053,AM,GLOBAL CONNECTIVITY SOLUTIONS LLP
45.129.185.55,443,AM,Global Connectivity Solutions Llp
45.129.185.99,443,AM,GLOBAL CONNECTIVITY SOLUTIONS LLP
45.129.185.154,2053,AM,GLOBAL CONNECTIVITY SOLUTIONS LLP
45.129.185.174,443,AM,GLOBAL CONNECTIVITY SOLUTIONS LLP
45.133.107.238,81,AM,ART NET LLC
45.133.107.246,81,AM,ART NET LLC
46.19.99.68,443,AM,GNC-Alfa CJSC
62.89.31.216,3629,AM,Gnc alfa Cjsc
81.16.1.71,5678,AM,Ucom Cjsc
81.16.1.187,32650,AM,Ucom Cjsc
85.90.207.20,8081,AM,G-Core Labs SA
85.90.207.91,8081,AM,G-Core Labs SA
85.90.207.142,8443,AM,G-Core Labs S.A.
85.90.207.206,443,AM,G-Core Labs S.A.
91.103.29.150,3629,AM,Adc Network Infrastructure
91.132.132.221,443,AM,WorkTitans B.V.
92.223.2.5,2053,AM,G-Core Labs Customer assignment
92.223.2.37,2053,AM,G-Core Labs SA
92.223.2.37,8443,AM,G-Core Labs SA
92.223.2.55,2053,AM,G-Core Labs SA
94.182.133.32,4090,AM,Telecom Armenia OJSC
109.75.34.152,59341,AM,Ucom Cjsc
109.75.42.82,3629,AM,Ucom Cjsc
130.193.123.34,5678,AM,Callmaster ISP
139.45.214.58,443,AM,RETN AM LLC
139.45.214.118,443,AM,RETN AM LLC
139.45.214.122,443,AM,RETN AM Limited Liability Company
139.45.214.126,443,AM,RETN AM Limited Liability Company
178.160.195.187,443,AM,Telecom Armenia OJSC
185.215.53.129,3629,AM,Fnet
185.215.53.217,3629,AM,Fnet
185.215.53.241,3629,AM,Fnet
185.215.53.253,3629,AM,Fnet
194.156.103.26,443,AM,GLOBAL CONNECTIVITY SOLUTIONS LLP
194.156.103.31,8443,AM,GLOBAL CONNECTIVITY SOLUTIONS LLP
194.156.103.51,443,AM,GLOBAL CONNECTIVITY SOLUTIONS LLP
194.156.103.58,41210,AM,GLOBAL CONNECTIVITY SOLUTIONS LLP
194.156.103.114,8443,AM,Global Connectivity Solutions Llp
195.250.87.42,4443,AM,GNC-Alfa CJSC
213.159.76.17,20532,AM,Stark Industries Solutions LTD
213.159.76.17,20533,AM,Stark Industries Solutions LTD
213.159.76.24,1980,AM,STARK INDUSTRIES SOLUTIONS LTD
213.159.76.24,1982,AM,STARK INDUSTRIES SOLUTIONS LTD
213.159.76.24,1983,AM,STARK INDUSTRIES SOLUTIONS LTD
213.159.76.24,1984,AM,STARK INDUSTRIES SOLUTIONS LTD
213.159.76.60,443,AM,Stark Industries Solutions
213.159.76.175,443,AM,WorkTitans B.V.
213.159.76.202,2053,AM,WorkTitans B.V.
213.159.76.202,8443,AM,WorkTitans B.V.
217.113.25.184,44443,AM,I-NET LLC
154.127.240.113,64002,AO,Tvcabo Angola  Lda
154.127.240.113,64003,AO,Tvcabo Angola  Lda
154.127.240.113,64006,AO,Tvcabo Angola  Lda
154.127.240.114,64002,AO,Tvcabo Angola  Lda
154.127.240.114,64003,AO,Tvcabo Angola  Lda
154.127.240.114,64006,AO,Tvcabo Angola  Lda
154.127.240.115,64001,AO,Tvcabo Angola  Lda
154.127.240.115,64006,AO,Tvcabo Angola  Lda
154.127.240.116,64002,AO,Tvcabo Angola  Lda
154.127.240.116,64006,AO,Tvcabo Angola  Lda
154.127.240.117,64001,AO,Tvcabo Angola  Lda
154.127.240.117,64002,AO,Tvcabo Angola  Lda
154.127.240.117,64003,AO,Tvcabo Angola  Lda
154.127.240.117,64006,AO,Tvcabo Angola  Lda
154.127.240.119,64002,AO,Tvcabo Angola  Lda
154.127.240.119,64006,AO,Tvcabo Angola  Lda
154.127.240.120,64002,AO,Tvcabo Angola  Lda
154.127.240.120,64006,AO,Tvcabo Angola  Lda
154.127.240.122,64003,AO,Tvcabo Angola  Lda
154.127.240.123,64002,AO,Tvcabo Angola  Lda
154.127.240.123,64003,AO,Tvcabo Angola  Lda
154.127.240.124,64001,AO,Tvcabo Angola  Lda
154.127.240.125,64002,AO,Tvcabo Angola  Lda
154.127.240.125,64003,AO,Tvcabo Angola  Lda
31.40.212.216,8443,AR,BrainStorm Network
43.229.9.143,6412,AR,Aires broadband
45.4.252.217,999,AR,Fernando German Fischer fibernet Telecom
45.7.210.200,4153,AR,Cooperativa De Servicios P blicos De Porte a LTDA
45.184.152.97,999,AR,RUIZ SEBASTIAN ALEJANDRO MIWIFI
45.184.155.3,999,AR,RUIZ SEBASTIAN ALEJANDRO MIWIFI
45.184.155.6,999,AR,RUIZ SEBASTIAN ALEJANDRO MIWIFI
45.187.76.2,3629,AR,LOSAC SA
45.228.77.131,5678,AR,DANIEL MARECHAL
45.229.31.34,11211,AR,TAPIA MARCELO DANIEL SECTOR NET
45.230.8.28,999,AR,Gimenez Pedro Santiago clorindaconectada
45.238.12.4,3128,AR,COOPERATIVA LTDA. DE ELECTRICIDAD Y SERVICIOS ANEXOS DE JEPPENNER
67.73.141.150,3549,AR,Cirion Technologies
131.196.180.1,4153,AR,COOPERATIVA DE OBRAS Y SERVICIOS PUBLICOS DE DESPENADEROS LIMITADA
138.36.150.13,1080,AR,Pedraza Luis Eduardo danez
138.117.77.214,999,AR,MARANDU COMUNICACIONES SOCIEDAD DEL ESTADO
138.121.160.152,1978,AR,WICORP SA
138.121.161.85,8097,AR,WICORP SA
138.121.161.86,8290,AR,WICORP SA
143.202.97.171,999,AR,Wireless Provider
152.168.198.202,39059,AR,Personal
152.169.106.145,8080,AR,Telecom Argentina S.A.
164.163.40.15,10000,AR,Interret Villa Angela SRL
164.163.42.5,10000,AR,Interret Villa Angela SRL
164.163.42.9,10000,AR,Interret Villa Angela SRL
164.163.42.19,10000,AR,Interret Villa Angela SRL
164.163.42.25,10000,AR,Interret Villa Angela SRL
164.163.42.27,10000,AR,Interret Villa Angela SRL
164.163.42.33,10000,AR,Interret Villa Angela SRL
164.163.43.102,10000,AR,Interret Villa Angela SRL
168.90.255.60,999,AR,TECNOCOMP S.R.L.
168.196.246.114,8080,AR,LINKEAR SRL
170.79.182.82,11337,AR,TECHTRON ARGENTINA S.A.
170.150.154.98,5678,AR,CPS
170.210.80.161,4153,AR,Red De Interconexion Universitaria
170.210.121.190,8080,AR,Red De Interconexion Universitaria
170.254.92.198,4153,AR,Cooperativa Telef nica Santa Maria Limitada
177.87.250.60,999,AR,TWAINSAT SRL
177.136.84.232,999,AR,ACCESS AIR SOCIEDAD SIMPLE
177.136.85.193,999,AR,ACCESS AIR SOCIEDAD SIMPLE
179.40.75.1,61362,AR,Telefonica de Argentina
181.10.117.254,999,AR,Telecom Argentina S.A.
181.10.123.154,999,AR,Telecom Argentina S.A.
181.10.123.157,999,AR,Telecom Argentina S.A.
181.10.160.155,8080,AR,Fuerza Aerea Argentina
181.10.181.104,999,AR,Telecom Argentina S.A
181.10.200.154,3128,AR,Aeropuertos Argentina 000
181.13.141.234,80,AR,Juan Villar Y Federico Mastrangelo
181.13.142.45,5678,AR,Frigorifico Industrial Del Norte SA
181.13.198.90,4153,AR,Video Drome Sociedad Anonima
181.15.154.154,52033,AR,Municipalidad De Posadas
181.15.154.156,52033,AR,Municipalidad De Posadas
181.29.205.47,8085,AR,Telecom Argentina S.A.
181.88.73.150,5678,AR,Telecom Acceso
181.114.226.212,8080,AR,Cyberwave S.A.
181.117.128.38,5678,AR,Claro
181.171.181.152,3128,AR,Telecom Argentina S.A.
181.191.39.29,5678,AR,AXESSO SRL
181.192.2.23,8080,AR,Coop Telefonica Villa Gesell LTDA
181.192.29.127,8080,AR,Coop Telefonica Villa Gesell LTDA
181.209.78.75,999,AR,Universidad Nacional De Cordoba
181.209.78.76,999,AR,Universidad Nacional De Cordoba
181.209.78.78,999,AR,Universidad Nacional De Cordoba
181.209.82.202,999,AR,Net g S.R.L
181.209.96.157,999,AR,Jujuy Sapem
181.209.96.226,4153,AR,Jujuy Sapem
181.209.106.186,1080,AR,Jujuy Sapem
181.209.106.187,1080,AR,Jujuy Sapem
181.209.106.188,1080,AR,Jujuy Sapem
181.209.106.189,1080,AR,Jujuy Sapem
181.209.106.190,1080,AR,Jujuy Sapem
181.209.107.138,4153,AR,Jujuy Sapem
181.209.107.139,4153,AR,Jujuy Sapem
181.209.110.190,999,AR,Jujuy Sapem
181.209.111.147,999,AR,Jujuy Sapem
181.209.111.148,999,AR,Jujuy Sapem
181.209.117.50,8080,AR,Arsat Empresa Argentina De Soluciones Satelitales S.A.
181.229.38.117,5678,AR,Telecom Argentina S.A.
186.13.11.121,8080,AR,Claro
186.125.218.162,999,AR,Telecom Argentina S.A
186.125.218.188,999,AR,Telecom Argentina S.A
187.102.216.196,999,AR,CRETTON LISANDRO MAXIMILIANO MISIOTECH
187.102.216.201,999,AR,CRETTON LISANDRO MAXIMILIANO MISIOTECH
187.102.219.149,999,AR,CRETTON LISANDRO MAXIMILIANO MISIOTECH
190.2.104.201,4153,AR,Teledifusora S.A.
190.2.115.18,4153,AR,Teledifusora S.A.
190.2.115.33,4153,AR,Teledifusora S.A.
190.11.198.89,4153,AR,NODOSUD S.A
190.14.32.209,5678,AR,Atlantica Video Cable S.A.
190.15.210.143,33333,AR,Inform tica Y Telecomunicaciones S.A.
190.15.252.205,3629,AR,IPNEXT S.A.
190.57.245.250,8080,AR,Gigared S.A.
190.103.84.11,32767,AR,Datalink SRL
190.103.177.131,80,AR,Ipxon Networks Argentina Cordoba ar cor
190.103.177.131,443,AR,Sondatech Sas
190.104.213.175,1080,AR,ZINK CRISTIAN FERNANDO
190.104.219.147,4153,AR,SUTEBA SINDICATO UNIFICADO DE TRABAJADORES DE LA EDUCACION DE BUENOS AIRES
190.111.209.207,3128,AR,CPS
190.114.143.226,8080,AR,Telefon a P blica Y Privada S.A.
190.136.50.67,3128,AR,Cooperativa Electrica Limitada Obera
190.151.166.99,4153,AR,Teledifusora S.A.
190.151.166.122,4153,AR,Teledifusora S.A.
190.183.61.62,2053,AR,SM Web Group SH
190.183.61.62,8443,AR,SM Web Group SH
190.188.244.84,5678,AR,Telecom Argentina S.A.
190.195.225.34,80,AR,Telecom Argentina S.A.
190.211.87.23,999,AR,Patagonia Green S.A.
190.216.56.1,4153,AR,Cirion Technologies
190.220.1.173,35376,AR,Claro
190.225.164.15,33333,AR,Telecom Argentina S.A.
191.97.96.86,8080,AR,VISION NET
191.97.96.208,8080,AR,VISION NET
191.102.248.42,4153,AR,IP RED
191.102.254.10,8085,AR,IP RED
191.102.254.11,8085,AR,IP RED
191.102.254.28,8085,AR,IP RED
191.102.254.53,8083,AR,IP RED
200.0.227.220,4153,AR,Satlink S.A.
200.0.247.85,4153,AR,Telefonica De Argentina
200.5.196.218,3128,AR,Telefonica De Argentina
200.32.51.179,8080,AR,Satlink S.A.  Shows Division
200.32.105.86,4153,AR,Cirion Technologies
200.34.215.1,4153,AR,JOSE CARTELLONE CONSTRUCCIONES CIVILES S.A.
200.34.215.193,4153,AR,JOSE CARTELLONE CONSTRUCCIONES CIVILES S.A.
200.34.215.194,4153,AR,JOSE CARTELLONE CONSTRUCCIONES CIVILES S.A.
200.41.60.33,4153,AR,Cirion Technologies
200.41.182.243,4145,AR,Telefonica De Argentina
200.43.231.4,4153,AR,Telecom Argentina S.A.
200.59.10.42,999,AR,POLYMONT ARGENTINA S.A
200.59.10.50,999,AR,Clientes Ctlc
200.63.65.64,8080,AR,Cyberwave S.A.
200.69.159.177,8080,AR,Claro
200.70.19.94,4153,AR,Telefonica De Argentina
200.70.34.22,4153,AR,Telefonica De Argentina
200.71.237.238,23500,AR,Caja De Seguros S.A.
200.81.127.113,4153,AR,Teledifusora S.A.
200.106.184.11,999,AR,FULLNET SOLUTIONS S.A.S.
200.106.184.12,999,AR,FULLNET SOLUTIONS S.A.S.
200.106.184.13,999,AR,FULLNET SOLUTIONS S.A.S.
200.106.184.14,999,AR,FULLNET SOLUTIONS S.A.S.
200.106.184.15,999,AR,FULLNET SOLUTIONS S.A.S.
200.106.184.21,999,AR,FULLNET SOLUTIONS S.A.S.
200.106.184.97,999,AR,FULLNET SOLUTIONS S.A.S.
200.106.187.252,999,AR,FULLNET SOLUTIONS S.A.S.
200.122.92.211,5678,AR,Telecom Argentina S.A.
201.159.8.126,5678,AR,Coop. Serv. Pub. Limit. Tres Arroyos  Celta
201.216.238.251,8080,AR,AGRICULTORES FEDERADOS ARG. SO C. COOP. LTDA
201.217.247.82,999,AR,ECOM CHACO S.A.
201.234.24.1,4153,AR,Cirion Technologies
201.234.24.89,4153,AR,Cirion Technologies
209.13.96.163,39921,AR,Telefonica De Argentina
209.13.96.165,39921,AR,Telefonica De Argentina
209.13.186.20,80,AR,Telefonica De Argentina
5.181.21.208,443,AT,Stark Industries Solutions
5.181.21.220,8443,AT,Stark Industries Solutions
31.217.221.74,8192,AT,EM I.T. Core Network Salzburg
38.180.23.126,8443,AT,M247 Europe
38.180.58.141,443,AT,M247 Europe
38.180.59.88,443,AT,M247 Europe
38.180.143.51,2053,AT,3NT SOLUTIONS LLP
38.180.143.51,8443,AT,3NT SOLUTIONS LLP
43.250.127.98,9001,AT,IPMEETIP
45.138.74.7,443,AT,Aeza International LTD
45.138.74.36,443,AT,Aeza International LTD
45.138.74.83,443,AT,Aeza International LTD
45.138.74.117,443,AT,Aeza International LTD
45.138.74.150,443,AT,Aeza International LTD
45.138.74.182,443,AT,Aeza International LTD
45.138.74.188,2053,AT,HOSTGLOBALPLUS LTD
45.138.74.188,8443,AT,HOSTGLOBALPLUS LTD
46.102.156.27,2053,AT,Alwyzon, a trading name of Hohl IT e.U.
46.102.156.144,2053,AT,Alwyzon, a trading name of Hohl IT e.U.
46.102.156.144,8443,AT,Alwyzon, a trading name of Hohl IT e.U.
62.40.157.231,32650,AT,Kabelplus GmbH
62.60.238.30,443,AT,Aeza International LTD
62.60.238.38,443,AT,Aeza International LTD
62.60.238.125,443,AT,Aeza International LTD
62.60.238.187,443,AT,Aeza International LTD
62.60.238.255,2053,AT,Aeza International
62.60.238.255,8443,AT,Aeza International
62.60.239.14,443,AT,Aeza International LTD
62.60.239.39,443,AT,Aeza International LTD
62.60.239.41,443,AT,Aeza International LTD
62.60.239.48,443,AT,Aeza International LTD
62.60.239.60,443,AT,Aeza International LTD
62.60.239.111,443,AT,Aeza International LTD
62.60.239.220,443,AT,Aeza International LTD
62.99.138.162,80,AT,Schullin Soehne Kg
77.73.131.16,443,AT,Aeza International LTD
77.73.131.33,2053,AT,Aeza International
77.73.131.33,8443,AT,Aeza International
77.73.131.70,443,AT,Aeza International LTD
77.73.131.125,443,AT,Aeza International LTD
77.73.131.157,443,AT,Aeza International LTD
77.73.131.188,443,AT,Aeza International LTD
77.73.131.218,443,AT,Aeza International LTD
77.73.131.223,443,AT,Aeza International LTD
77.73.131.228,443,AT,Aeza International LTD
77.119.240.209,8080,AT,Network of Hutchison Drei Austria GmbH
77.119.250.129,8080,AT,Network of Hutchison Drei Austria GmbH
77.239.101.199,8443,AT,Aeza International LTD
78.153.130.9,2053,AT,Aeza International
78.153.130.9,8443,AT,Aeza International
78.153.130.46,2053,AT,Aeza International LTD
78.153.130.64,8443,AT,Aeza International LTD
78.153.130.94,444,AT,Aeza International
78.153.130.94,28233,AT,Aeza International
78.153.130.94,54402,AT,Aeza International
78.153.130.113,443,AT,Aeza International LTD
78.153.130.166,8443,AT,Aeza International LTD
78.153.130.215,443,AT,Aeza International LTD
80.120.49.242,80,AT,Pfeiffer Metallbau GmbH
80.120.130.231,80,AT,HIGHWAY1
80.122.170.182,4153,AT,HIGHWAY1
83.218.186.22,5678,AT,Mynet Internet Solutions
85.192.27.65,443,AT,Aeza International LTD
85.192.27.65,2053,AT,Aeza International LTD
85.192.27.108,443,AT,Aeza International LTD
85.192.27.148,443,AT,Aeza International LTD
85.192.27.165,443,AT,Aeza International LTD
85.192.42.21,443,AT,Aeza International LTD
85.192.42.63,443,AT,Aeza International LTD
85.192.42.105,443,AT,Aeza International LTD
85.192.42.127,8443,AT,Aeza International
85.192.42.154,2053,AT,Aeza International
85.192.42.174,443,AT,Aeza International LTD
85.192.42.179,443,AT,Aeza International LTD
85.192.42.188,443,AT,Aeza International LTD
85.192.42.195,443,AT,Aeza International LTD
85.192.42.229,443,AT,Aeza International
85.192.42.230,443,AT,Aeza International LTD
86.106.182.151,24832,AT,Alwyzon  A Trading Name of Hohl IT E.U.
94.177.8.2,443,AT,Alwyzon, a trading name of Hohl IT e.U.
94.177.8.3,443,AT,Alwyzon, a trading name of Hohl IT e.U.
94.177.8.4,443,AT,Alwyzon, a trading name of Hohl IT e.U.
94.177.8.5,443,AT,Alwyzon, a trading name of Hohl IT e.U.
94.177.8.6,443,AT,Alwyzon, a trading name of Hohl IT e.U.
94.177.8.8,443,AT,Alwyzon, a trading name of Hohl IT e.U.
94.177.8.9,443,AT,Alwyzon, a trading name of Hohl IT e.U.
94.177.8.10,443,AT,Alwyzon, a trading name of Hohl IT e.U.
94.177.8.11,443,AT,Alwyzon, a trading name of Hohl IT e.U.
94.177.8.19,443,AT,Alwyzon, a trading name of Hohl IT e.U.
94.177.8.21,443,AT,Alwyzon, a trading name of Hohl IT e.U.
94.177.8.23,443,AT,Alwyzon, a trading name of Hohl IT e.U.
94.177.8.26,443,AT,Alwyzon, a trading name of Hohl IT e.U.
94.177.8.31,443,AT,Alwyzon, a trading name of Hohl IT e.U.
94.177.8.34,443,AT,Alwyzon, a trading name of Hohl IT e.U.
94.177.8.40,443,AT,Alwyzon, a trading name of Hohl IT e.U.
94.177.8.43,443,AT,Alwyzon, a trading name of Hohl IT e.U.
94.177.8.48,443,AT,Alwyzon, a trading name of Hohl IT e.U.
94.177.8.50,443,AT,Alwyzon, a trading name of Hohl IT e.U.
94.177.8.51,443,AT,Alwyzon, a trading name of Hohl IT e.U.
94.177.8.54,443,AT,Alwyzon, a trading name of Hohl IT e.U.
94.177.8.60,443,AT,Alwyzon, a trading name of Hohl IT e.U.
94.177.8.62,443,AT,Alwyzon, a trading name of Hohl IT e.U.
94.177.8.78,2053,AT,Alwyzon, a trading name of Hohl IT e.U.
94.177.8.122,2053,AT,Alwyzon, a trading name of Hohl IT e.U.
94.177.8.122,8443,AT,Alwyzon, a trading name of Hohl IT e.U.
94.228.169.28,443,AT,Aeza International LTD
94.228.169.66,443,AT,Aeza International LTD
94.228.169.84,443,AT,Aeza International LTD
94.228.169.108,443,AT,Aeza International LTD
94.228.169.153,443,AT,Aeza International LTD
94.228.169.192,443,AT,Aeza International LTD
94.228.169.196,8443,AT,Aeza International
94.228.169.216,443,AT,Aeza International LTD
94.228.169.227,443,AT,Aeza International LTD
94.228.169.231,2053,AT,Aeza International
94.228.169.238,443,AT,Aeza International LTD
94.228.169.238,2053,AT,Aeza International LTD
